code,old,new,sku
B-28-light-red,40000,55000,6690
B-28-pink,40000,55000,6692
B-28-white,40000,55000,6688
B-28-yellow,40000,55000,6518
B-34-blue,25000,35000,8499
B-34-pink,25000,35000,8497
B-34-red,25000,35000,6526
B-34-white,25000,35000,8501
C-5-champagne,30000,43000,8301
C-5-dark-pink,30000,43000,8295
C-5-pink,30000,43000,8297
C-5-red,30000,43000,8299
C-5-white,30000,43000,8248
C-6-dark-pink,30000,43000,8307
C-6-light-pink,30000,43000,8311
C-6-orange,30000,43000,8408
C-6-pink,30000,43000,8305
C-6-white,30000,43000,8250
C-6-yellow,30000,43000,8309
C-7-blue,28000,38000,8317
C-7-dark-pink,28000,38000,8321
C-7-pink,28000,38000,8315
C-7-red,28000,38000,8252
C-7-white,28000,38000,8319
